tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1983$301,Auckland,Hard,32,A,19830110,1,100244,1,"",John Alexander,R,190,AUS,31.5017111567,31,0,101158,"","",John Frawley,R,173,AUS,17.5003422313,294,0,6$2 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,2,100343,"","",John Lloyd,R,178,GBR,28.3531827515,197,0,100726,"","",Greg Whitecross,R,185,AUS,21.8042436687,272,0,6$4 6$1,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,3,100749,"","",Dave Siegler,R,,USA,21.5934291581,237,0,100674,"","",Jeff Turpin,R,188,USA,22.6420260096,,,7$5 2$6 6$4,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,4,100551,6,"",Brad Drewett,L,185,AUS,24.4599589322,116,0,100680,"","",Peter Johnston,L,178,AUS,22.5900068446,239,0,6$3 5$7 8$6,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,5,100474,3,"",Chris Lewis NZL,R,180,NZL,25.8206707734,57,0,100519,"","",Scott Mccain,R,180,USA,24.9664613279,187,0,6$3 6$4,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,6,100675,"","",John Mccurdy,R,188,AUS,22.6420260096,250,0,100638,"","",David Mustard,L,180,NZL,23.0143737166,247,0,7$6 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,7,101064,"","",David Lewis,R,180,NZL,18.3326488706,415,0,100328,"","",Rand Evett,R,,USA,28.8432580424,219,0,3$6 6$4 6$4,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,8,100354,7,"",Bernard Mitton,R,188,RSA,28.1505817933,162,0,100257,"",Q,Ross Case,R,,AUS,31.1731690623,415,0,6$2 3$6 8$6,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,9,100285,5,"",Rod Frawley,R,185,AUS,30.3189596167,87,0,100554,"",Q,Matthew Mcdonald,R,,USA,24.3969883641,473,0,7$6 4$6 6$1,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$301,Auckland,Hard,32,A,19830110,10,100849,"","",David Graham,R,180,AUS,20.4161533196,,,108173,"","",Ron Dutton,R,,NZL,,,,6$2 6$1,3,R32,,,,,,,,,,,,,,,,,,,,1983
